Аймаг;№;Сумын нэр;Өртөө/Харуулын нэр;Өргөрөг;Уртраг;Өндөр
ХЭНТИЙ;14;Норивлин;Норивлин;48.69163;111.98735;1032.88
ХЭНТИЙ;15;Баянмөнх;Баянмөнх;46.90183;109.75839;1112.06
ХЭНТИЙ;16;Баян-Адрага;Баян-Адрага;48.55578;111.08107;1031.94
ХЭНТИЙ;17;Гурванбаян;Гурванбаян;48.18474;110.32285;1206.36
ХЭНТИЙ;18;Цэнхэрмандал;Цэнхэрмандал;47.74749;109.05622;1434.23
ХОВД;1;Булган;Байтаг;46.09448;91.55265;1184.55
ХОВД;2;Чандмань;Чандмань;47.66401;92.81257;1659.66
ХОВД;3;Ховд;Дунд-Ус;48.12628;91.37364;1711.27
ХОВД;4;Жаргалант;Ховд;47.99575;91.63327;1404.7
ХОВД;5;Манхан;Манхан;47.41953;92.22397;1353.76
ХОВД;6;Мөнххайрхан;Мөнххайрхан;47.06509;91.8527;2094.68
ХОВД;7;Мест;Мест;46.69164;92.79772;2031.8
ХОВД;8;Цэцэг;Цэцэг;46.59072;93.27201;1717.62
ХОВД;9;Зэрэг;Зэрэг;47.10756;92.83816;1152.85
ХОВД;10;Дөргөн;Дөргөн;48.33819;92.62625;1186.25
ХОВД;11;Мянгад;Мянгад;48.2378;91.92386;1179.24
ХОВД;12;Дуут;Дуут;47.52098;91.62499;2283.12
ХОВД;13;Дарви;Дарви;46.93741;98.61236;1472.8
ХОВД;14;Алтай;Алтай;46.02065;92.5238;1544.14
ХОВД;15;Эрдэнэбүрэн;Эрдэнэбүрэн;48.49704;91.43623;1266.39
ХОВД;16;Үенч;Үенч;46.0659;92.03903;1416.1
ХӨВСГӨЛ;1;Баянзүрх;Баянзүрх;50.17884;98.97567;1631.6
ХӨВСГӨЛ;2;Цэцэрлэг;Чандагат;49.52237;97.73467;1744.9
ХӨВСГӨЛ;3;Эрдэнэбулган;Эрдэнэбулган;50.11975;101.58216;1149.5
ХӨВСГӨЛ;4;Жаргалант;Жаргалант;48.58015;99.34751;1577.8
ХӨВСГӨЛ;5;Алаг-Эрдэнэ;Хатгал;50.43943;100.15073;1667.42
ХӨВСГӨЛ;6;Мөрөн;Мөрөн;49.63879;100.16663;1287.15
ХӨВСГӨЛ;7;Рашаант;Рашаант;49.12109;101.45597;1382.85
ХӨВСГӨЛ;8;Ренчинлхүмбэ;Ренчинлхүмбэ;51.11417;99.66819;1582.5
ХӨВСГӨЛ;9;Шинэ-Идэр;Шинэ-Идэр;48.95023;99.53462;1694.9
ХӨВСГӨЛ;10;Тариалан;Тариалан;49.60926;101.98452;1217.15
ХӨВСГӨЛ;11;Цагаан-Үүр;Цагаан-Үүр;50.55243;101.51425;1139.43
ХӨВСГӨЛ;12;Тосонцэнгэл;Тосонцэнгэл;49.47438;100.90232;1308.0
ХӨВСГӨЛ;13;Улаан-Уул;Улаан-Уул;50.6779;99.2292;1682.8
ХӨВСГӨЛ;14;Төмөрбулаг;Төмөрбулаг;49.29164;100.25161;1432.8
ХӨВСГӨЛ;15;Цагаан-Уул;Цагаан-Уул;49.60322;98.69302;1828.4
ХӨВСГӨЛ;16;Арбулаг;Арбулаг;49.91432;99.45052;1888.0
ХӨВСГӨЛ;17;Алаг-Эрдэнэ;Алаг-Эрдэнэ;50.1203;100.0458;1569.86
ХӨВСГӨЛ;18;Түнэл;Түнэл;49.85806;100.63142;1510.5
ХӨВСГӨЛ;19;Чандмань-Өндөр;Чандмань-Өндөр;50.47647;100.92662;1284.48
ХӨВСГӨЛ;20;Ханх;Ханх;51.49572;100.67087;1653.0
ХӨВСГӨЛ;21;Бүрэнтогтох;Бүрэнтогтох;49.62115;99.58703;1336.8
ХӨВСГӨЛ;22;Их-Уул;Их-Уул;49.43919;101.46162;1054.7
ХӨВСГӨЛ;23;Галт;Галт;48.76856;99.87532;1485.0
ХӨВСГӨЛ;24;Цагааннуур;Цагааннуур;51.36441;99.34613;1562.5
ЗАВХАН;1;Баянтэс;Баянтэс;49.70026;96.36332;1431.13
ЗАВХАН;2;Дөрвөлжин;Дөрвөлжин;47.64663;94.99911;1391.07
ЗАВХАН;3;Нөмрөг;Нөмрөг;48.87038;96.96174;1847.31
ЗАВХАН;4;Отгон;Отгон;47.20948;97.60491;2155.24
ЗАВХАН;5;Тосонцэнгэл;Тосонцэнгэл;48.76307;98.2665;1722.61
ЗАВХАН;6;Цэцэн-Уул;Цэцэн-Уул;48.74783;96.00462;1926.91
ЗАВХАН;7;Улиастай;Улиастай;47.72692;96.84765;1776.77
ЗАВХАН;8;Завханмандал;Завханмандал;48.32226;95.10675;1442.78
ЗАВХАН;9;Ургамал;Ургамал;48.51627;94.28618;1273.91
ЗАВХАН;10;Тэлмэн;Тэлмэн;48.64182;97.61566;1796.06
ЗАВХАН;11;Сонгино;Сонгино;46.7975;97.19161;2163.85
ЗАВХАН;12;Цагаанхайрхан;Цагаанхайрхан;47.49468;96.80632;1816.74
ЗАВХАН;13;Тэс;Тэс;49.65145;95.77509;1286.11
ЗАВХАН;14;Эрдэнэхайрхан;Эрдэнэхайрхан;48.1277;95.71274;1885.88
ЗАВХАН;15;Сантмаргац;Сантмаргац;48.58317;95.42907;1568.82
ЗАВХАН;16;Идэр;Идэр;48.2123;97.37283;1967.39
ЗАВХАН;17;Баянхайрхан;Баянхайрхан;49.30533;96.34368;1867.49
ЗАВХАН;18;Шилүүстэй;Шилүүстэй;46.7975;97.19161;2163.85
ЗАВХАН;19;Яруу;Яруу;48.11283;96.76994;2097.13
ЗАВХАН;20;Цагаанчулуут;Цагаанчулуут;47.11527;96.6638;2142.02
ЗАВХАН;21;Түдэвтэй;Түдэвтэй;48.98667;96.55149;1778.89
ЗАВХАН;22;Их-Уул;Их-Уул;48.72235;98.79557;1815.27
ЗАВХАН;23;Алдархаан;Алдархаан;47.64536;96.53423;1659.24
ГОВЬ-СҮМБЭР;1;Сүмбэр;Чойр;46.35006;108.37474;1288.9
